==== two-file S4096 ====
  fa_dq     vs ref: max_abs=1.441e-02  max_rel=1.630e+00
  fa_dk     vs ref: max_abs=1.332e-02  max_rel=1.612e+00
  fa_dv     vs ref: max_abs=1.631e-02  max_rel=1.980e+00
  te_dq     vs ref: max_abs=1.524e-02  max_rel=3.641e+00
  te_dk     vs ref: max_abs=1.763e-02  max_rel=2.718e+00
  te_dv     vs ref: max_abs=1.631e-02  max_rel=1.980e+00
==== onefile S512 ====
  fa_dk     vs ref: max_abs=1.261e-02  max_rel=2.248e+00
  fa_dv     vs ref: max_abs=1.365e-02  max_rel=1.875e+00
  te_dq     vs ref: max_abs=1.374e-02  max_rel=1.169e+00
  te_dk     vs ref: max_abs=1.068e-02  max_rel=2.089e+00
  te_dv     vs ref: max_abs=1.365e-02  max_rel=1.875e+00
