=== mla8w=1 ===
    gpu__time_duration.sum                                                               us       132.42
    lts__t_sectors_op_red.sum                                                        sector      6684672
    sm__issue_active.avg.pct_of_peak_sustained_active                                     %        28.07
    smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio                   inst         0.32
    smsp__average_warps_issue_stalled_lg_throttle_per_issue_active.ratio               inst            0
    smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio           inst         1.99
    smsp__average_warps_issue_stalled_math_pipe_throttle_per_issue_active.ratio        inst         0.20
    smsp__average_warps_issue_stalled_mio_throttle_per_issue_active.ratio              inst         0.07
    smsp__average_warps_issue_stalled_not_selected_per_issue_active.ratio              inst         0.27
    smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio          inst         1.55
    smsp__average_warps_issue_stalled_wait_per_issue_active.ratio                      inst         1.20
=== mla8w=0 ===
    gpu__time_duration.sum                                                               us       238.82
    lts__t_sectors_op_red.sum                                                        sector      6684672
    sm__issue_active.avg.pct_of_peak_sustained_active                                     %        14.39
    smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio                   inst         0.06
    smsp__average_warps_issue_stalled_lg_throttle_per_issue_active.ratio               inst            0
    smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio           inst         2.35
    smsp__average_warps_issue_stalled_math_pipe_throttle_per_issue_active.ratio        inst            0
    smsp__average_warps_issue_stalled_mio_throttle_per_issue_active.ratio              inst         0.00
    smsp__average_warps_issue_stalled_not_selected_per_issue_active.ratio              inst            0
    smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio          inst         0.72
    smsp__average_warps_issue_stalled_wait_per_issue_active.ratio                      inst         1.54
