    Section: Command line profiler metrics
    --------------------------------------------------------------------------- ----------- ------------
    Metric Name                                                                 Metric Unit Metric Value
    --------------------------------------------------------------------------- ----------- ------------
    dram__throughput.avg.pct_of_peak_sustained_elapsed                                    %         0.00
    gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed                      %         0.01
    sm__throughput.avg.pct_of_peak_sustained_elapsed                                      %        98.47
    sm__warps_active.avg.pct_of_peak_sustained_active                                     %        23.72
    smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio                   inst            0
    smsp__average_warps_issue_stalled_drain_per_issue_active.ratio                     inst         0.00
    smsp__average_warps_issue_stalled_lg_throttle_per_issue_active.ratio               inst            0
    smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio           inst            0
    smsp__average_warps_issue_stalled_math_pipe_throttle_per_issue_active.ratio        inst         0.03
    smsp__average_warps_issue_stalled_mio_throttle_per_issue_active.ratio              inst         0.00
    smsp__average_warps_issue_stalled_no_instruction_per_issue_active.ratio            inst         0.02
    smsp__average_warps_issue_stalled_not_selected_per_issue_active.ratio              inst         2.72
    smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio          inst         0.00
    smsp__average_warps_issue_stalled_wait_per_issue_active.ratio                      inst         0.06
    --------------------------------------------------------------------------- ----------- ------------

